"# of Use","# Usado"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"(Copy data from: %s)","(Copiar dados de: %s)"
"Used for sorting in product listing","Utilizado para definir ordem de listagem nos produtos"
"Used in product listing","Utilizado na listagem de produtos"
"Values Required","Valores Necessários"
"Varchar","Varchar"
"View as","Ver como"
"Virtual Product","Produto Virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas páginas do catálogo e na Interface de Utilizador"
"Visible on Product View Page on Front-end","Visível na página de exibição do produto no front-end"
"Watermark","Marca de água"
"Watermark Default Size","Tamanho por omissão da marca de água"
"Watermark Position","Posição da marca de água"
"We Also Recommend","Também Recomendamos"
"Web Site Item Must be checked","Tem que assinalar o item do Site"
"Web Site Store Must be checked","Tem que assinalar a Loja do Site"
"Website","Site"
"Websites","Sites"
"Wrong BuyRequest instance in options group","Instância 'BuyRequest' incorrecta nas opções de grupo"
"Wrong option instance type in options group","Tipo de instância de opção incorrecta nas opções de grupo"
"Wrong option type to get group instance.","Tipo de opção incorrecta para obter o grupo de instância."
"Wrong product instance type in options group","Instância incorrecta do tipo de produto nas opções de grupo"
"Wrong quote item instance in options group","Instância incorrecta do item cotação nas opções de grupo"
"Wrong quote item option instance in options group","Instância incorrecta do item opção de cotação nas opções de grupo"
"Year Range","Intervalo Ano"
"Yes","Sim"
"Yes/No","Sim/Não"
"You cannot delete this attribute","Não pode remover este atributo"
"You cannot edit this attribute","Não pode editar este atributo"
"You cannot remove system attribute from this set.","Não pode remover atributos de sistema deste grupo."
"You cannot update this attribute","Não pode actualizar este atributo"
"You have no items to compare.","Não existem itens para comparar"
"You may also be interested in the following product(s)","Também pode estar interessado nos seguintes produtos"
"Zoom In","Aumentar"
"Zoom Out","Diminuir"
"[GLOBAL]","[GLOBAL]"
"and","e"
"and above","e superiores"
"cache refresh needed","necessária actualização do cache"
"categories","categorias"
"comma separated","separado por vírgulas"
"each","cada"
"ex. http://domain.com","ex: http://omeusite.com"
"leave blank if its not an image","deixe em branco se não for uma imagem"
"must be in the allowed values list","tem que estar na lista de valores permitidos"
"per page","por página"
"products","produtos"
"px.","px."
"save","guardar"
"select all","Seleccionar tudo"
"unselect all","Desmarcar todos"
"x","x"
"Description","Descrição"
"Short Description","Pequena Descrição"
"Tax Class","Classe de Imposto"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Disponibilidade:"
"Qty:","Qtd:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categorias"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"

"Check Cart","Carrinho de Compras"
"Show as picture","Como Mostrado"
"Color","Cor"
"Measurement Unit","Unidade de Medição"
"Custom Size","Tamanho Sob Medida"
"Bust","Busto"
"Waist","Cintura"
"Hips","Ancas"
"Hollow to Floor","Do pescoço ao Chão"
"inch","pol"
"Rush Order","Ordem de Arremetida"
"No, thanks! (Standard)","Não, obrigado! (Standard)"
"Arrived in 16-18 days","Chegar em 16-18 dias"
"Arrived in 13-15 days","Chegar em 13-15 dias"
"Buy Now","Compre Agora"
"Note","Nota"
"Event Date","Data do Evento"
"Color Chart","Tabela de Cores"
"Size Chart","Tabela de Tamanhos"
"Measurement","Como Medir"
"FAQs","Perguntas Frequentes"
"Descriptions","Descrições"
"Delivery","Entrega"
"Pictures","Fotos"
"Recent Reviews","Comentários Recentes"
"Recent Reviews by Category","Comentários recentes por categoria"
"Bestselling","Best-seller"
"Most Reviewed","Mais Comentados"
"Highly Rated","Altamente Classificação"
"Sort By","Classificar por"
"Hot Deals","Produtos Populares"
"Pictures","Fotos"
"Like","Gosto"
"Order ID","Número de Ordem"
"Enter the billing last name and email/ZIP as in the order billing address","Digite o sobrenome faturamento e email/código postal como no endereço de faturamento da ordem"
"Billing Last Name","Faturamento Sobrenome"
"Find Order By:","Encontrar Ordem por:"
"Email Address","Endereço de Email"
"ZIP Code","Código Postal"
"Billing ZIP Code","Faturamento Código Postal"
"Send Email","Enviar e-mail"
"Clear Shopping Cart","Claro carrinho de compras"
"There are no products matching the selection.","Não há produtos com esta seleção."
"Credit Cards (Visa & MasterCard)","Cartões de Crédito (Visa e MasterCard)"
"Jacket","Jaqueta"
"With Jacket","Com Jaqueta"
"Without Jacket","Sem Jaqueta"
"Shoulder (inch)","Ombros (pol)"
"Armseye (inch)","Largura de Manga (pol)"
"Arm Length (inch)","Comprimento do Braço (pol)"
"Shoes Color","Sapatos Cor"
"Shoes Size","Sapatos Tamanho"
"Color","Cor"
"Size","Tamanho"
"Beige","Bege"
"Cup Size","Tamanho Copa"
"Cup A","Copa A"
"Cup B","Copa B"
"Cup C","Copa C"
"Cup D","Copa D"
"Tier Price","Faixa de Preço"
"Hot product(s)","O produto quente(s)"
"Quality Guarantee","Descrição de ServiçO"
"Favorite & Buy Later","Favori"
"View Desktop Site","Visite o site em desktop"
"View Mobile Site","Exibir versão móvel"
"You May Also Like","Você pode gostar também"
"Click on the following image to view full picture","Clique na imagem abaixo para ver imagem completa"
"Email to Friend","E-mail para amigo"
"Shoes","Sapatos"
"High Heels","Stiletto"
"Heels","Stiletto"
"Boots","Botas"
"Sandals","Sandálias"
"Flats","Rasteirinhas"
"Wedges","Cunhas"
"Leopard Print","Estampa de Leopardo"
"Buckle","Fivela"
"Rubber","Borracha"
"Rhinestones","Imitação de Diamante"
"Rhinestone","Imitação de Diamante"
"Flowers","Flor"
"Flower","Flor"
"Lace","Renda"
"Pearl","Pérola"
"Closed Toe","Sapato com Bico Fechado"
"Open Toe","Sapato com Bico Aberto"
"Pointed Toe","Bico Fino"
"Round Toe","Bico Redondo"
"Square Toe","Bico Quadrado"
"Peep Toe","Peep Toe"
"Sheepskin","Pergaminho"
"Flock","Rebanho"
"Suede","Camurça"
"Patent Leather","Couro envernizado"
"Silk","Seda"
"Elastic Leather","Couroelástica"
"Horsehair","Crina"
"Cattlehide Leather","Gadoescondercouro"
"Hogskin","Bola de Futebol"
"Others","Outros"
"Wedding","Casamento"
"Prom & Evening","Baile Enoite"
"Party","Festa"
"Casual","Casual"
"Shawl","Xale"
"With Shawl","Com Xale"
"Without Shawl","Sem Xale"

"Add to Wishlist","Adicionar Favori"
"Select this item","Selecionar este Item"
"Related Products","Produtos Relacionados"
"Product Promotions","Promoções de Produtos"
